text,labels
pul - CTAB without rales,O O O O B-PR 
"abd - soft , minimally distended , nt , no rebound/guarding , nabs",O O O O B-PR I-PR O B-PR O O B-PR O O 
"extrm - trace edema at ankles , no cyanosis , warm/dry ",O O B-PR I-PR I-PR I-PR O O B-PR O O 
Pertinent Results :,O O O 
2012-10-31 05:47PM URINE,O O O 
COLOR - Straw APPEAR - Clear SP Marquez - 1.021,B-TE O O B-TE O O O O O O 
2012-10-31 05:47PM URINE,O O O 
BLOOD - LG NITRITE - NEG PROTEIN - NEG,O O O B-TE O O B-TE O O 
GLUCOSE - NEG KETONE - NEG BILIRUBIN - NEG UROBILNGN - NEG PH - 7.0 LEUK - NEG,B-TE O O B-TE O O B-TE O O B-TE O O B-TE O O B-TE O O 
2012-10-31 05:47PM URINE,O O O 
RBC-21-50* WBC-0-2 BACTERIA - FEW,B-TE B-TE B-TE O O 
YEAST - NONE EPI - <1,B-TE O O B-TE O O 
2012-10-31 02:32PM,O O 
LACTATE - 1.8,B-TE O O 
2012-10-31 12:20PM,O O 
GLUCOSE - 197* UREA N-25* CREAT - 0.8 SODIUM - 141,B-TE O O B-TE I-TE B-TE O O B-TE O O 
POTASSIUM - 3.7 CHLORIDE - 105 TOTAL CO2 - 22 ANION GAP - 18,B-TE O O B-TE O O B-TE I-TE O O B-TE I-TE O O 
2012-10-31 12:20PM,O O 
WBC - 5.6 RBC - 4.35* HGB - 12.6* HCT - 36.7* MCV - 84,B-TE O O B-TE O O B-TE O O B-TE O O B-TE O O 
MCH - 28.9 MCHC - 34.3 RDW - 15.7*,B-TE O O B-TE O O B-TE O O 
2012-10-31 12:20PM,O O 
NEUTS - 80.5* LYMPHS - 13.1* MONOS - 3.5 EOS - 2.5,B-TE O O B-TE O O B-TE O O B-TE O O 
BASOS - 0.4,B-TE O O 
2012-10-31 12:20PM,O O 
POIKILOCY - 1+ MICROCYT - 1+,B-TE O O B-TE O O 
2012-10-31 12:20PM,O O 
PLT COUNT - 102*,B-TE I-TE O O 
2012-10-31 12:20PM,O O 
PT - 20.5* PTT - 29.4 INR(PT) - 3.0,B-TE O O B-TE O O B-TE O O 
GI BLEEDING STUDY,B-TE I-TE I-TE 
2012-10-31,O 
"IMPRESSION : Increased tracer activity demonstrated within the left lower quadrant , most likely sigmoid colonic loops of bowel , consistent with active bleeding .",O O B-PR I-PR I-PR O O O O O O O O O O O O O O O O O B-PR I-PR O 
CT ABDOMEN W/CONTRAST,B-TE I-TE I-TE 
2012-10-31 15:27,O O O 
IMPRESSION :,O O 
1. No evidence of colitis or other bowel pathology present to explain the patient 's bright red blood per rectum .,O O O O B-PR O B-PR I-PR I-PR O O O B-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR O 
2. Stable appearance of left adrenal fat-containing lesion consistent with a myelolipoma .,O O O O B-PR I-PR I-PR I-PR O O B-PR I-PR O 
"3. Stable appearance of hypodense lesion within the caudate lobe of the liver , too small to fully characterize .",O O O O B-PR I-PR I-PR I-PR I-PR I-PR O O O O O O O O O O 
"4. Subcentimeter attenuation lesion within the lower pole of the right kidney , too small to characterize .",O B-PR I-PR I-PR I-PR I-PR I-PR I-PR O O O O O O O O O O 
5. 3-mm noncalcified pulmonary nodule within the right lower lobe . ,O B-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR O 
"If the patient does not have a history of a primary malignancy , followup CT of the chest in 1 year is recommended to evaluate for stability of this finding .",O O O O O O O O O B-PR I-PR I-PR O B-TE I-TE I-TE I-TE I-TE O O O O O O O O O O O O O 
Brief Hospital Course :,O O O O 
Initial A/P :,O O O 
"71 y/o male with dm2 , cad , chf , uc presents with one week of lower abdominal pain and 2 episodes of brpbr on the day of admission .",O O O O B-PR O B-PR O B-PR O B-PR O O O O O B-PR I-PR I-PR O O O O B-PR O O O O O O 
# BRBPR -- The patient was in the intensive care unit given his lower GI bleed .,O B-PR O O O O O O O O O O B-PR I-PR I-PR I-PR O 
An angiography showed bleeding in two vessels off of the Minnie supplying the sigmoid that were succesfully embolized .,B-TE I-TE O B-PR I-PR I-PR I-PR O O O O O O O O O O O O 
The patient was transfused from a Hct 29 to 34 on the day of discharge .,O O O O O B-TE I-TE O O O O O O O O O 
His coumadin was held during his stay given his acute bleed but restarted per his PCP with the guidance of GI on the day of discharge .,B-TR I-TR O O O O O O B-PR I-PR I-PR O O O O O O O O O O O O O O O O 
"- The patient underwent a flex sigmoidoscopy on Friday , 11-02 , which showed old blood in the rectal vault but no active source of bleeding .",O O O O B-TE I-TE I-TE O O O O O O O B-PR I-PR I-PR I-PR I-PR I-PR O O B-PR I-PR I-PR I-PR O 
"Given this , it was advised that the patient have a colonoscopy to rule out further bleeding .",O O O O O O O O O O B-TE I-TE O O O O B-PR O 
"- The patient had a colonoscopy on Monday 11-05 but unfortunately , was unable to complete the study as his bowel ",O O O O B-TE I-TE O O O O O O O O O O O O O O O 
prep was inadequate .,O O O O 
"Therefore , he had a repeat colonoscopy on 11-06 which showed expected mucosal signs of moderate ulcerative colitis , no polyps , w/ 8 mm ulcer at junction of distal descending colon and sigmoid colon .",O O O O B-TE I-TE I-TE O O O O O B-PR I-PR O B-PR I-PR I-PR O O B-PR O O B-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR O 
- Biopsies were obtained during his colonoscopy and he should follow up with gastroenterology for the results .,O B-TE O O O B-TE I-TE O O O O O O O O O O O 
# Ulcerative colitis -- The patient 's Asacol was originally held but restarted the day prior to discharge per GI .,O B-PR I-PR O B-TR I-TR I-TR I-TR O O O O O O O O O O O O O 
# CAD/CHF - The patient was restarted on his home regimen prior to discharge as it was held temporarily given his acute GI bleed .,O B-PR O O O O O O B-TR I-TR I-TR O O O O O O O O O B-PR I-PR I-PR I-PR O 
"The exception is that per his PCP , Jason aspirin will be held for 2 weeks given that he was restarted on coumadin with ",O O O O O O O O O B-TR O O O O O O O O O O O O B-TR O 
his risk of bleeding .,B-PR I-PR I-PR I-PR O 
# DM-2 -- The patient was maintained on his home insulin regimen .,O B-PR O O O O O O B-TR I-TR I-TR I-TR O 
# h/o DVT/PE :,O O B-PR O 
Coumadin was initially held .,B-TR O O O O 
It was unclear at first as to why the patient required life-long anticoagulation .,O O O O O O O O O O O B-TR I-TR O 
"After discussing this with his PCP , Leon was clear that the patient had had recurrent DVTs and ultimately a PE and his PCP felt strongly that he required long-term anticoagulation .",O O O O O O O O O O O O O O O B-PR I-PR O O B-PR I-PR O O O O O O O O B-TR I-TR O 
"His goal INR should be 1.6-2.0 . If bleeding continues to occur , consider V. Winchester filter .",B-TE I-TE I-TE O O O O O B-PR O O O O O B-TR I-TR I-TR O 
# Access -- 2 large bore PIV's,O O O B-TR I-TR I-TR I-TR 
# Code -- full,O O O O 
Medications on Admission :,O O O O 
Meds on Admission :,O O O O 
1.) Spironolactone/hctz 25/25 daily,O B-TR O O 
2.) Atenolol 12.5mg daily,O B-TR O O 
3.) Insulin 45N/8R qAM and 33N qPM,O B-TR O O O O O 
4.) Furosemide 10 mg every other day,O B-TR O O O O O 
5.) Aspirin 81 mg daily,O B-TR O O O 
6.) Zoloft 40 mg qAM,O B-TR O O O 
7.) Flomax,O B-TR 
8.) Atorvastatin 40 mg daily,O B-TR O O O 
9.) Ritalin 20 mg daily,O B-TR O O O 
10.) Ramipril 2.5 mg daily,O B-TR O O O 
"11.) Asacol 400 mg 3 , TID",O B-TR O O O O O 
12.) Carafate 1 gm bid,O B-TR O O O 
13.) Actos 15 mg daily,O B-TR O O O 
14.) Folate 1 mg daily,O B-TR O O O 
15.) Warfarin 2 mg daily,O B-TR O O O 
Discharge Medications :,O O O 
"1. Tamsulosin 0.4 mg Capsule , Sust . Release 24HR Sig : One ( 1 ) Capsule , Sust . Release 24HR PO HS ( at bedtime ) .",O B-TR O O O O O O O O O O O O O O O O O O O O O O O O O O O 
2. Atorvastatin 40 mg Tablet Sig : One ( 1 ) Tablet PO DAILY ( Daily ) .,O B-TR O O O O O O O O O O O O O O O O 
3. Methylphenidate 10 mg Tablet Sig : Two ( 2 ) Tablet PO DAILY ( Daily ) .,O B-TR O O O O O O O O O O O O O O O O 
4. Acetaminophen 325 mg Tablet Sig : One ( 1 ) Tablet PO Q4-6H ( every 4 to 6 hours ) as needed .,O B-TR O O O O O O O O O O O O O O O O O O O O O O 
5. Folic Acid 1 mg Tablet Sig : One ( 1 ) Tablet PO DAILY ( Daily ) .,O B-TR I-TR O O O O O O O O O O O O O O O O 
6. Atenolol 25 mg Tablet Sig : 0.5 Tablet PO DAILY ( Daily ) .,O B-TR O O O O O O O O O O O O O 
7. Spironolactone 25 mg Tablet Sig : One ( 1 ) Tablet PO DAILY ( Daily ) .,O B-TR O O O O O O O O O O O O O O O O 
8. Ramipril 1.25 mg Capsule Sig : Two ( 2 ) Capsule PO DAILY ( Daily ) .,O B-TR O O O O O O O O O O O O O O O O 
9. Hydrochlorothiazide 25 mg Tablet Sig : One ( 1 ) Tablet PO DAILY ( Daily ) .,O B-TR O O O O O O O O O O O O O O O O 
10. Pioglitazone 15 mg Tablet Sig : One ( 1 ) Tablet PO DAILY ( Daily ) as needed for DM .,O B-TR O O O O O O O O O O O O O O O O O O B-PR O 
"11. Mesalamine 400 mg Tablet , Delayed Release ( E.C. ) Sig : Three ( 3 ) Tablet , Delayed Release ( E.C. ) PO TID ( 3 times a day ) as needed for ulcerative colitis w/o recent severe flares .",O B-TR O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PR I-PR O O B-PR I-PR O 
12. Insulin 45 NPH in am with 33 NPH at bedtime,O B-TR O B-TR O O O O B-TR O O 
Continue Sliding scale insulin as needed .,O B-TR I-TR I-TR O O O 
13. Sertraline 20 mg/mL Concentrate Sig : Two ( 2 )  PO at bedtime .,O B-TR O O O O O O O O O O O O O O 
14. Coumadin 2 mg Tablet Sig : One ( 1 ) Tablet PO once a day .,O B-TR O O O O O O O O O O O O O O O 
Discharge Disposition : ,O O O 
Extended Care,O O 
Facility : ,O O 
Oak Bluffs Of Greenfield,O O O O 
Discharge Diagnosis :,O O O 
Rectal bleeding from inferior mesenteric artery tributaries supplying sigmoid colon .,B-PR I-PR I-PR I-PR I-PR I-PR I-PR O O O O 
Discharge Condition : Good .,O O O O O 
Discharge Instructions : ,O O O 
"Please call physician if you develop shortness of breath , weakness in your legs or arms , sudden blurry vision or slurred speech , chest pain , faintness , or significant unexplained weight loss .",O O O O O O B-PR I-PR I-PR O B-PR I-PR I-PR I-PR I-PR I-PR O B-PR I-PR I-PR O B-PR I-PR O B-PR I-PR O B-PR O O B-PR I-PR I-PR I-PR O 
Followup Instructions :,O O O 
"Provider : Lucio Y. Matthews , M.D. Phone : ( 967 ) 675 1641 Date/Time : 2012-12-28 2:30",O O O O O O O O O O O O O O O O O O 
Provider :  Greg CLINIC Phone : ( 212 ) 442 0438 Date/Time : 2013-01-11 1:30,O O O O O O O O O O O O O O O O 
"Provider : Lucio F. R. Matthews , M.D. Phone : ( 967 ) 675 1641 Date/Time : 2013-01-11 2:00",O O O O O O O O O O O O O O O O O O O 
"Please call White , Leslie L. at ( 602 ) 743 8709 to schedule an appointment with him in 1 week .",O O O O O O O O O O O O O O O O O O O O O O 
Please call your gastroenterologist to schedule a follow up appointment in 2 weeks .,O O O O O O O O O O O O O O 
Alan John MD 54-745,O O O O 
Completed by : Bertha Janice Motta MD 52-860 2012-11-07 @ 1207,O O O O O O O O O O O 
Signed electronically by : DR. Melody PARKS on: WED 2012-11-21 6:22 PM,O O O O O O O O O O O O 
( End of Report ),O O O O O 
4668411,O 
CTMC,O 
68299235,O 
763052,O 
9/29/1993 12:00:00 AM,O O O 
Discharge Summary,O O 
Signed,O 
DIS,O 
Admission Date :,O O O 
09/29/1993,O 
Report Status :,O O O 
Signed,O 
Discharge Date :,O O O 
10/04/1993,O 
HISTORY OF PRESENT ILLNESS :,O O O O O 
The patient is a 28-year-old woman who is HIV positive for two years .,O O O O O O O O B-PR I-PR O O O O 
She presented with left upper quadrant pain as well as nausea and vomiting which is a long-standing complaint .,O O O B-PR I-PR I-PR I-PR O O O B-PR O B-PR O O B-PR I-PR I-PR O 
She was diagnosed in 1991 during the birth of her child .,O O O O O O O O O O O O 
She claims she does not know why she is HIV positive .,O O O O O O O O O B-PR I-PR O 
"She is from Maryland , apparently had no blood transfusions before the birth of her children so it is presumed heterosexual transmission .",O O O O O O O O B-TR I-TR O O O O O O O O O O B-PR I-PR O 
"At that time , she also had cat scratch fever and she had resection of an abscess in the left lower extremity .",O O O O O O O B-PR I-PR I-PR O O O B-TR O B-PR I-PR I-PR I-PR I-PR I-PR I-PR O 
"She has not used any anti retroviral therapy since then , because of pancytopenia and vomiting on DDI .",O O O O B-TR I-TR I-TR I-TR O O O O O B-PR O B-PR O B-TR O 
She has complaints of nausea and vomiting as well as left upper quadrant pain on and off getting progressively worse over the past month .,O O O O B-PR O B-PR O O O B-PR I-PR I-PR I-PR O O O O O O O O O O O 
She has had similar pain intermittently for last year .,O O O B-PR I-PR O O O O O 
"She described the pain as a burning pain which is positional , worse when she walks or does any type of exercise .",O O B-PR I-PR O B-PR I-PR I-PR O O O O O O O O O O O O O O O 
She has no relief from antacids or H2 blockers .,O O O O O B-TR O B-TR I-TR O 
"In 10/92 , she had a CT scan which showed fatty infiltration of her liver diffusely with a 1 cm cyst in the right lobe of the liver .",O O O O O B-TE I-TE I-TE O O B-PR I-PR I-PR I-PR I-PR I-PR O B-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR O 
"She had a normal pancreas at that time , however , hyperdense kidneys .",O O O O O O O O O O O B-PR I-PR O 
Her alkaline phosphatase was slightly elevated but otherwise relatively normal .,B-TE I-TE I-TE O B-PR I-PR O O O O O 
Her amylase was mildly elevated but has been down since then .,B-TE I-TE O B-PR I-PR O O O O O O O 
The patient has had progressive failure to thrive and steady weight loss .,O O O O B-PR I-PR I-PR I-PR O B-PR I-PR I-PR O 
She was brought in for an esophagogastroduodenoscopy on 9/26 but she basically was not sufficiently sedated and readmitted at this time for a GI work-up as well as an evaluation of new abscess in her left lower calf and right medial lower extremity quadriceps muscle .,O O O O O B-TE I-TE O O O O O O O O B-TR O O O O O O B-TE I-TE I-TE O O O B-TE I-TE O B-PR I-PR I-PR I-PR I-PR I-PR I-PR O O O O O O O O 
She was also admitted to be connected up with social services for HIV patients .,O O O O O O O O O O O O B-PR O O 
PAST MEDICAL HISTORY :,O O O O 
As above .,O O O 
ALLERGIES :,O O 
BACTRIM .,B-TR O 
MEDICATIONS :,O O 
"On admission included Percocet , Prinovil , Dapsone , Mycelex troches .",O O O B-TR O B-TR O B-TR O B-TR I-TR O 
SOCIAL HISTORY :,O O O 
The patient was recently separated from her husband .,O O O O O O O O O 
She lives with her daughter .,O O O O O O 
"She does not drink , use IV drugs or smoke .",O O O O O O O O O O O 
PHYSICAL EXAMINATION :,O O O 
On admission revealed a cachetic woman in no acute distress with stable vital signs .,O O O O O O O O B-PR I-PR O O O O O 
She was afebrile .,O O B-PR O 
She was not orthostatic .,O O O B-PR O 
Blood pressure 110/80 .,B-TE I-TE O O 
HEENT exam was within normal limits .,B-TE I-TE O O O O O 
Lungs were clear to auscultation and percussion bilaterally .,O O O O B-TE O B-TE O O 
Cardiovascular exam revealed a regular rate and rhythm without murmur .,B-TE I-TE O O O O O O O B-PR O 
"Abdomen was soft , nontender , nondistended with positive bowel sounds .",O O O O B-PR O B-PR O O O O O 
There was no hepatosplenomegaly .,O O O B-PR O 
"Extremities revealed a 2 x 3 cm tender mass in the lateral left calf , medial 1 cm mass above her knee .",O O B-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR I-PR O B-PR I-PR I-PR I-PR I-PR I-PR I-PR O 
There was no evidence of edema .,O O O O O B-PR O 
LABORATORY DATA :,O O O 
On admission included BUN / creatinine of 33/2.1 .,O O O B-TE O B-TE O O O 
Sodium 141 .,B-TE O O 
Potassium 4.2 .,B-TE O O 
Hematocrit 23 .,B-TE O O 
White blood cell count was 2.1 with 56 polys and 1 band .,B-TE I-TE I-TE I-TE O O O B-TE I-TE O B-TE I-TE O 
"Platelet count 411,000 .",B-TE I-TE O O 
Amylase 143 .,B-TE O O 
Lipase was elevated to 600 .,B-TE O B-PR O O O 
ESR was greater than 140 .,B-TE O O O O O 
Alkaline phosphatase 190 .,B-TE I-TE O O 
ALT 52 .,B-TE O O 
AST 65 .,B-TE O O 
Beta hCG was negative .,B-TE I-TE O O O 
Urinalysis was positive for protein .,B-TE O B-PR I-PR I-PR O 
Bilirubin 0.4 .,B-TE O O 
Chest x-ray revealed clear lung fields .,B-TE I-TE O O O O O 
There was no evidence of rib fracture .,O O O O O B-PR I-PR O 
HOSPITAL COURSE :,O O O 
The patient was admitted and many cultures were sent which were all negative .,O O O O O B-TE I-TE O O O O O O O 
She did not have any of her pain in the hospital .,O O O O O O B-PR I-PR O O O O 
"On the third hospital day , she did have some pain and was treated with Percocet .",O O O O O O O O O B-PR I-PR O O O O B-TR O 
She went for a debridement of her left calf lesion on 10/2/93 and was started empirically on IV ceftriaxone which was changed to po doxycycline on the day of discharge .,O O O B-TR I-TR O B-PR I-PR I-PR I-PR O O O O O O O B-TR I-TR O O O O B-TR I-TR O O O O O O 
A follow-up CT scan was done which did not show any evidence for splenomegaly or hepatomegaly .,B-TE I-TE I-TE I-TE O O O O O O O O O B-PR O B-PR O 
The 1 cm cyst which was seen in 10/92 was still present .,B-PR I-PR I-PR I-PR O O O O O O O O O 
"There was a question of a cyst in her kidney with a stone right below the cyst , although this did not seem to be clinically significant .",O O O O O B-PR I-PR I-PR I-PR I-PR O B-PR I-PR O O B-PR I-PR O O O O O O O O O O O 
DISPOSITION :,O O 
The patient was discharged to home in stable condition .,O O O O O O O O O O 
Cultures were pending on her aspirate and will be treated with po doxycycline .,B-TE O O O B-TE I-TE O O O O O B-TR I-TR O 
Dictated By :,O O O 
"JIMCHARL B. BUN , M.D. OC33",O O O O O O 
Attending :,O O 
"I BUN , M.D. GR67 EF283/9675",O O O O O O 
Batch :,O O 
2027,O 
Index No. BOKMII88JZ,O O O 
D :,O O 
10/03/93,O 
T :,O O 
10/07/93,O 
?Admission Date :,O O O 
2016-12-24,O 
Discharge Date :,O O O 
2016-12-27,O 
Date of Birth :,O O O O 
1936-01-11,O 
Sex:,O 
F,O 
Service :,O O 
CMED CSRU,O O 
CHIEF COMPLAINT :,O O O 
"Cough , rhinorrhea , dehydration .",B-PR O B-PR O B-PR O 
HISTORY OF PRESENT ILLNESS :,O O O O O 
"The patient is an 80 year old female with breast cancer , status post lumpectomy / radiation therapy / Tamoxifen ( 2000 ) , hypertension , hyperlipidemia , multiple urinary tract infections who presents with a four day prodrome of dry cough , rhinorrhea , coryza , malaise , chills , headache , decreased p.o. intake , loose bowel movements with diarrhea and no blood , decreased urine output , no sick contacts , had flu shot this year .",O O O O O O O O O B-PR I-PR O O O B-TR O B-TR I-TR O B-TR O O O O B-PR O B-PR O B-PR I-PR I-PR I-PR O O O O O O O O B-PR I-PR O B-PR O B-PR O B-PR O B-PR O B-PR O B-PR I-PR I-PR O B-PR I-PR I-PR O B-PR O O B-PR O B-PR I-PR I-PR O O O O O O B-TR I-TR O O O 
"In the Emergency Department , she had labile blood pressure with systolic blood pressure in the 80 s .  ",O O O O O O O B-PR I-PR I-PR O B-TE I-TE I-TE O O O O O O 
"Her usual is systolic blood pressure in the 120 s , this was despite two liters of intravenous fluids and she was transferred to the Medical Intensive Care Unit for closer monitoring for possible early sepsis .",O O O B-TE I-TE I-TE O O O O O O O O B-TR I-TR I-TR I-TR I-TR O O O O O O O O O O O O O O O B-PR I-PR O 
The Intensive Care Unit course was notable for initially receiving broad spectrum antibiotics as well as a white blood cell count of 11.0 with 15 bands .,O O O O O O O O O O B-TR I-TR I-TR O O O B-TE I-TE I-TE I-TE I-TE O O O O B-TE O 
She was ultimately changed to Levaquin for a possible early pneumonia pending cultures .,O O O O O B-TR O O O B-PR I-PR B-TE I-TE O 
"The Intensive Care Unit course was also notable for negative chest x-ray , two units of packed red blood cells for a hematocrit of 24.0 with appropriate bump in her hematocrit and no evidence of bleeding , stable blood pressure despite a net fluid balance of negative 2.5 liters .",O O O O O O O O O O O O O B-TR I-TR I-TR I-TR I-TR I-TR I-TR O B-TE I-TE O O O O O O B-TE I-TE O O B-PR I-PR I-PR O O B-TE I-TE O B-TE I-TE I-TE I-TE O O O O O 
No central access was needed .,O B-TR I-TR O O O 
The sepsis protocol was aborted .,B-TR I-TR I-TR O O O 
"Also of note , her liver function tests had been normal .",O O O O B-TE I-TE I-TE I-TE O O O O 
Random cortisol was 17 and her DFA was positive for influenzae A with a viral culture pending at the time of discharge .,B-TE I-TE O O O B-TE I-TE O O O B-PR I-PR O B-TE I-TE I-TE O O O O O O O 
Blood and urine cultures were no growth at the time of discharge as well .,B-TE I-TE I-TE I-TE O O O O O O O O O O O 
She also had a right lower extremity noninvasive ultrasound that was negative for deep venous thrombosis .,O O O B-TE I-TE I-TE I-TE I-TE I-TE O O O O B-PR I-PR I-PR O 
"PAST MEDICAL HISTORY : Breast cancer diagnosed in 2010 , Stage I , status post left lumpectomy , on 2012-05-08 , and repeat surgery with sentinel node dissection on 2012-06-05 .",O O O O B-PR I-PR O O O O O O O B-TR I-TR I-TR I-TR O O O O O B-TR I-TR O B-TR I-TR I-TR O O O 
Invasive mucinous carcinoma with estrogen receptor positivity and HER2/NEU negative .,B-PR I-PR I-PR O B-PR I-PR I-PR O B-PR O O 
"Left chest radiation , on Tamoxifen therapy .",B-TR I-TR I-TR O O B-TR I-TR O 
She is followed by Dr. Alonso Naugle .,O O O O O O O O 
"Question of vertebral basilar cerebrovascular accident in 2016-08-17 , with associated limb ataxia .",O O B-PR I-PR I-PR I-PR O O O O O B-PR I-PR O 
Magnetic resonance imaging was negative except for some microvascular cerebral white matter changes .,B-TE I-TE I-TE O O O O B-PR I-PR I-PR I-PR I-PR I-PR O 
"Question peripheral vertigo , takes Meclizine p.r.n.",O B-PR I-PR O O B-TR O 
Hypothyroidism .,B-PR O 
Hypertension .,B-PR O 
Hypercholesterolemia .,B-PR O 
Glaucoma .,B-PR O 
Cataract .,B-PR O 
Osteopenia .,B-PR O 
Left hip arthritis .,B-PR I-PR I-PR O 
History of urinary tract infections .,O O B-PR I-PR I-PR O 
"Anemia , with a baseline hematocrit of 31.0 , with a TIBC that was low and a high ferritin .",B-PR O O B-TE I-TE I-TE O O O O B-TE I-TE O O B-PR O B-PR I-PR I-PR O 
"Echocardiogram in 2016-09-16 , with preserved ejection fraction of 60 percent with trivial mitral regurgitation and mild left atrial enlargement .",B-TE O O O O O B-TE I-TE O O O O B-PR I-PR I-PR O B-PR I-PR I-PR I-PR O 
"Cardiac stress test in 2016-03-17 , that was negative for inducible ischemia .",B-TE I-TE I-TE O O O O O O O B-PR I-PR O 
ALLERGIES :,O O 
No known drug allergies .,O B-PR I-PR I-PR O 
MEDICATIONS ON ADMISSION :,O O O O 
1. Evista 60 mg p.o. daily .,O B-TR O O O O O 
2. Tamoxifen 20 mg p.o. daily .,O B-TR O O O O O 
3. Lisinopril 5 mg p.o. daily .,O B-TR O O O O O 
4. Triamterene/Hydrochlorothiazide 37.5/25 mg p.o. daily .,O B-TR O O O O O 
5. Enteric Coated Aspirin 325 mg p.o. daily .,O B-TR I-TR I-TR O O O O O 
6. Meclizine 25 mg q8hours p.r.n.,O B-TR O O O O 
"7. Aggrenox twice a day , the dose was not known .",O B-TR O O O O O O O O O O 
8. Synthroid 125 mcg daily .,O B-TR O O O O 
SOCIAL HISTORY :,O O O 
