text,labels
30.8,O
despite,O
2U,B-TR
PRBC,I-TR
and,O
3,B-TR
U,I-TR
FFP,I-TR
.,O

Is,O
called,O
out,O
of,O
the,O
FICU,O
as,O
has,O
been,O
been,O
HD,O
and,O
stable,O
HCT,B-TE
.,O

Currently,O
denies,O
CP,B-PR
",",O
SOB,B-PR
",",O
abd,B-PR
pain,I-PR
or,O
continued,B-PR
BRBPR,I-PR
.,O

Past,O
Medical,O
History,O
:,O

PMH,O
:,O

1.),O
DM-2,B-PR

2.),O
CAD,B-PR
s/p,O
3v-CABG,B-TR
2003,O
and,O
subsequent,O
stenting,B-TR
of,O
SVG,B-TR
and,O
LIMA,O

3.),O
CHF,B-PR
with,O
EF,B-TE
30-35%,O
on,O
07-10,O
echo,B-TE

4.),O
Right,B-PR
parietal,I-PR
intracranial,I-PR
bleeding,I-PR
following,O
1996,O
cardiac,B-TE
cath,I-TE

5.),O
LBBB,B-PR

6.),O
Sinus,B-PR
node,I-PR
dysfunction,I-PR
s/p,O
pacemaker,B-TR

7.),O
H/O,O
DVT,B-PR
(,O
right,O
sided,O
),O
and,O
subsequent,O
PE,B-PR
",",O
put,O
onto,O
lifetime,O
warfarin,B-TR

8.),O
Ulcerative,B-PR
colitis,I-PR

PSH,O
:,O

1.),O
C4-7,B-TR
anterior,I-TR
discectomies,I-TR

2.),O
CABG,B-TR
2003,O

3.),O
R,B-TR
intracerebral,I-TR
hemorrhage,I-TR
drainage,I-TR

Social,O
History,O
:,O

SocHx,O
:,O
Mr,O
Peres,O
generally,O
lives,O
with,O
his,O
wife,O
but,O
has,O
spent,O
a,O
great,O
deal,O
of,O
time,O
recently,O
at,O
rehab,B-TR
.,O

He,O
has,O
no,O
h/o,O
ETOH/IVDA,O
but,O
quit,O
tob,O
15,O
years,O
ago,O
.,O

Family,O
History,O
:,O

Noncontributory,O
.,O

Physical,O
Exam,O
:,O

VS,B-TE
98.4,O
",",O
62,O
",",O
103/37,O
",",O
15,O
97%2L,O

gen,O
-,O
lying,O
in,O
bed,O
",",O
NAD,B-PR

heent,O
-,O
anicteric,B-PR
sclera,I-PR
",",O
op,O
clear,O
with,O
mmm,O

neck,O
-,O
jvd,B-PR
flat,O

cv,O
-,O
rrr,O
",",O
s1s2,O
",",O
no,O
m/r/g,B-PR

pul,O
-,O
CTAB,O
without,O
rales,B-PR

abd,O
-,O
soft,O
",",O
minimally,B-PR
distended,I-PR
",",O
nt,B-PR
",",O
no,O
rebound/guarding,B-PR
",",O
nabs,O

extrm,O
-,O
trace,B-PR
edema,I-PR
at,I-PR
ankles,I-PR
",",O
no,O
cyanosis,B-PR
",",O
warm/dry,O

Pertinent,O
Results,O
:,O

2012-10-31,O
05:47PM,O
URINE,O

COLOR,B-TE
-,O
Straw,O
APPEAR,B-TE
-,O
Clear,O
SP,O
Marquez,O
-,O
1.021,O

2012-10-31,O
05:47PM,O
URINE,O

BLOOD,O
-,O
LG,O
NITRITE,B-TE
-,O
NEG,O
PROTEIN,B-TE
-,O
NEG,O

GLUCOSE,B-TE
-,O
NEG,O
KETONE,B-TE
-,O
NEG,O
BILIRUBIN,B-TE
-,O
NEG,O
UROBILNGN,B-TE
-,O
NEG,O
PH,B-TE
-,O
7.0,O
LEUK,B-TE
-,O
NEG,O

2012-10-31,O
05:47PM,O
URINE,O

RBC-21-50*,B-TE
WBC-0-2,B-TE
BACTERIA,B-TE
-,O
FEW,O

YEAST,B-TE
-,O
NONE,O
EPI,B-TE
-,O
<1,O

2012-10-31,O
02:32PM,O

LACTATE,B-TE
-,O
1.8,O

2012-10-31,O
12:20PM,O

GLUCOSE,B-TE
-,O
197*,O
UREA,B-TE
N-25*,I-TE
CREAT,B-TE
-,O
0.8,O
SODIUM,B-TE
-,O
141,O

POTASSIUM,B-TE
-,O
3.7,O
CHLORIDE,B-TE
-,O
105,O
TOTAL,B-TE
CO2,I-TE
-,O
22,O
ANION,B-TE
GAP,I-TE
-,O
18,O

2012-10-31,O
12:20PM,O

WBC,B-TE
-,O
5.6,O
RBC,B-TE
-,O
4.35*,O
HGB,B-TE
-,O
12.6*,O
HCT,B-TE
-,O
36.7*,O
MCV,B-TE
-,O
84,O

MCH,B-TE
-,O
28.9,O
MCHC,B-TE
-,O
34.3,O
RDW,B-TE
-,O
15.7*,O

2012-10-31,O
12:20PM,O

NEUTS,B-TE
-,O
80.5*,O
LYMPHS,B-TE
-,O
13.1*,O
MONOS,B-TE
-,O
3.5,O
EOS,B-TE
-,O
2.5,O

BASOS,B-TE
-,O
0.4,O

2012-10-31,O
12:20PM,O

POIKILOCY,B-TE
-,O
1+,O
MICROCYT,B-TE
-,O
1+,O

2012-10-31,O
12:20PM,O

PLT,B-TE
COUNT,I-TE
-,O
102*,O

2012-10-31,O
12:20PM,O

PT,B-TE
-,O
20.5*,O
PTT,B-TE
-,O
29.4,O
INR(PT),B-TE
-,O
3.0,O

GI,B-TE
BLEEDING,I-TE
STUDY,I-TE

2012-10-31,O

IMPRESSION,O
:,O
Increased,B-PR
tracer,I-PR
activity,I-PR
demonstrated,O
within,O
the,O
left,O
lower,O
quadrant,O
",",O
most,O
likely,O
sigmoid,O
colonic,O
loops,O
of,O
bowel,O
",",O
consistent,O
with,O
active,B-PR
bleeding,I-PR
.,O

CT,B-TE
ABDOMEN,I-TE
W/CONTRAST,I-TE

2012-10-31,O
15:27,O

IMPRESSION,O
:,O

1.,O
No,O
evidence,O
of,O
colitis,B-PR
or,O
other,B-PR
bowel,I-PR
pathology,I-PR
present,O
to,O
explain,O
the,B-PR
patient,I-PR
's,I-PR
bright,I-PR
red,I-PR
blood,I-PR
per,I-PR
rectum,I-PR
.,O

2.,O
Stable,O
appearance,O
of,O
left,B-PR
adrenal,I-PR
fat-containing,I-PR
lesion,I-PR
consistent,O
with,O
a,B-PR
myelolipoma,I-PR
.,O

3.,O
Stable,O
appearance,O
of,O
hypodense,B-PR
lesion,I-PR
within,I-PR
the,I-PR
caudate,I-PR
lobe,I-PR
of,O
the,O
liver,O
",",O
too,O
small,O
to,O
fully,O
characterize,O
.,O

4.,O
Subcentimeter,B-PR
attenuation,I-PR
lesion,I-PR
within,I-PR
the,I-PR
lower,I-PR
pole,I-PR
of,O
the,O
right,O
kidney,O
",",O
too,O
small,O
to,O
characterize,O
.,O

5.,O
3-mm,B-PR
noncalcified,I-PR
pulmonary,I-PR
nodule,I-PR
within,I-PR
the,I-PR
right,I-PR
lower,I-PR
lobe,I-PR
.,O

If,O
the,O
patient,O
does,O
not,O
have,O
a,O
history,O
of,O
a,B-PR
primary,I-PR
malignancy,I-PR
",",O
followup,B-TE
CT,I-TE
of,I-TE
the,I-TE
chest,I-TE
in,O
1,O
year,O
is,O
recommended,O
to,O
evaluate,O
for,O
stability,O
of,O
this,O
finding,O
.,O

Brief,O
Hospital,O
Course,O
:,O

Initial,O
A/P,O
:,O

71,O
y/o,O
male,O
with,O
dm2,B-PR
",",O
cad,B-PR
",",O
chf,B-PR
",",O
uc,B-PR
presents,O
with,O
one,O
week,O
of,O
lower,B-PR
abdominal,I-PR
pain,I-PR
and,O
2,O
episodes,O
of,O
brpbr,B-PR
on,O
the,O
day,O
of,O
admission,O
.,O

#,O
BRBPR,B-PR
--,O
The,O
patient,O
was,O
in,O
the,O
intensive,O
care,O
unit,O
given,O
his,B-PR
lower,I-PR
GI,I-PR
bleed,I-PR
.,O

An,B-TE
angiography,I-TE
showed,O
bleeding,B-PR
in,I-PR
two,I-PR
vessels,I-PR
off,O
of,O
the,O
Minnie,O
supplying,O
the,O
sigmoid,O
that,O
were,O
succesfully,O
embolized,O
.,O

The,O
patient,O
was,O
transfused,O
from,O
a,B-TE
Hct,I-TE
29,O
to,O
34,O
on,O
the,O
day,O
of,O
discharge,O
.,O

His,B-TR
coumadin,I-TR
was,O
held,O
during,O
his,O
stay,O
given,O
his,B-PR
acute,I-PR
bleed,I-PR
but,O
restarted,O
per,O
his,O
PCP,O
with,O
the,O
guidance,O
of,O
GI,O
on,O
the,O
day,O
of,O
discharge,O
.,O

-,O
The,O
patient,O
underwent,O
a,B-TE
flex,I-TE
sigmoidoscopy,I-TE
on,O
Friday,O
",",O
11-02,O
",",O
which,O
showed,O
old,B-PR
blood,I-PR
in,I-PR
the,I-PR
rectal,I-PR
vault,I-PR
but,O
no,O
active,B-PR
source,I-PR
of,I-PR
bleeding,I-PR
.,O

Given,O
this,O
",",O
it,O
was,O
advised,O
that,O
the,O
patient,O
have,O
a,B-TE
colonoscopy,I-TE
to,O
rule,O
out,O
further,O
bleeding,B-PR
.,O

-,O
The,O
patient,O
had,O
a,B-TE
colonoscopy,I-TE
on,O
Monday,O
11-05,O
but,O
unfortunately,O
",",O
was,O
unable,O
to,O
complete,O
the,O
study,O
as,O
his,O
bowel,O

prep,O
was,O
inadequate,O
.,O

Therefore,O
",",O
he,O
had,O
a,B-TE
repeat,I-TE
colonoscopy,I-TE
on,O
11-06,O
which,O
showed,O
expected,O
mucosal,B-PR
signs,I-PR
of,O
moderate,B-PR
ulcerative,I-PR
colitis,I-PR
",",O
no,O
polyps,B-PR
",",O
w/,O
8,B-PR
mm,I-PR
ulcer,I-PR
at,I-PR
junction,I-PR
of,I-PR
distal,I-PR
descending,I-PR
colon,I-PR
and,I-PR
sigmoid,I-PR
colon,I-PR
.,O

-,O
Biopsies,B-TE
were,O
obtained,O
during,O
his,B-TE
colonoscopy,I-TE
and,O
he,O
should,O
follow,O
up,O
with,O
gastroenterology,O
for,O
the,O
results,O
.,O

#,O
Ulcerative,B-PR
colitis,I-PR
--,O
The,B-TR
patient,I-TR
's,I-TR
Asacol,I-TR
was,O
originally,O
held,O
but,O
restarted,O
the,O
day,O
prior,O
to,O
discharge,O
per,O
GI,O
.,O

#,O
CAD/CHF,B-PR
-,O
The,O
patient,O
was,O
restarted,O
on,O
his,B-TR
home,I-TR
regimen,I-TR
prior,O
to,O
discharge,O
as,O
it,O
was,O
held,O
temporarily,O
given,O
his,B-PR
acute,I-PR
GI,I-PR
bleed,I-PR
.,O

The,O
exception,O
is,O
that,O
per,O
his,O
PCP,O
",",O
Jason,O
aspirin,B-TR
will,O
be,O
held,O
for,O
2,O
weeks,O
given,O
that,O
he,O
was,O
restarted,O
on,O
coumadin,B-TR
with,O

his,B-PR
risk,I-PR
of,I-PR
bleeding,I-PR
.,O

#,O
DM-2,B-PR
--,O
The,O
patient,O
was,O
maintained,O
on,O
his,B-TR
home,I-TR
insulin,I-TR
regimen,I-TR
.,O

#,O
h/o,O
DVT/PE,B-PR
:,O

Coumadin,B-TR
was,O
initially,O
held,O
.,O

It,O
was,O
unclear,O
at,O
first,O
as,O
to,O
why,O
the,O
patient,O
required,O
life-long,B-TR
anticoagulation,I-TR
.,O

After,O
discussing,O
this,O
with,O
his,O
PCP,O
",",O
Leon,O
was,O
clear,O
that,O
the,O
patient,O
had,O
had,O
recurrent,B-PR
DVTs,I-PR
and,O
ultimately,O
a,B-PR
PE,I-PR
and,O
his,O
PCP,O
felt,O
strongly,O
that,O
he,O
required,O
long-term,B-TR
anticoagulation,I-TR
.,O

His,B-TE
goal,I-TE
INR,I-TE
should,O
be,O
1.6-2.0,O
.,O
If,O
bleeding,B-PR
continues,O
to,O
occur,O
",",O
consider,O
V.,B-TR
Winchester,I-TR
filter,I-TR
.,O

#,O
Access,O
--,O
2,B-TR
large,I-TR
bore,I-TR
PIV's,I-TR

#,O
Code,O
--,O
full,O

Medications,O
on,O
Admission,O
:,O

Meds,O
on,O
Admission,O
:,O

1.),O
Spironolactone/hctz,B-TR
25/25,O
daily,O

2.),O
Atenolol,B-TR
12.5mg,O
daily,O

3.),O
Insulin,B-TR
45N/8R,O
qAM,O
and,O
33N,O
qPM,O

4.),O
Furosemide,B-TR
10,O
mg,O
every,O
other,O
day,O

5.),O
Aspirin,B-TR
81,O
mg,O
daily,O

6.),O
Zoloft,B-TR
40,O
mg,O
qAM,O

7.),O
Flomax,B-TR

8.),O
Atorvastatin,B-TR
40,O
mg,O
daily,O

9.),O
Ritalin,B-TR
20,O
mg,O
daily,O

10.),O
Ramipril,B-TR
2.5,O
mg,O
daily,O

11.),O
Asacol,B-TR
400,O
mg,O
3,O
",",O
TID,O

12.),O
Carafate,B-TR
1,O
gm,O
bid,O

13.),O
Actos,B-TR
15,O
mg,O
daily,O

14.),O
Folate,B-TR
1,O
mg,O
daily,O

15.),O
Warfarin,B-TR
2,O
mg,O
daily,O

Discharge,O
Medications,O
:,O

1.,O
Tamsulosin,B-TR
0.4,O
mg,O
Capsule,O
",",O
Sust,O
.,O
Release,O
24HR,O
Sig,O
:,O
One,O
(,O
1,O
),O
Capsule,O
",",O
Sust,O
.,O
Release,O
24HR,O
PO,O
HS,O
(,O
at,O
bedtime,O
),O
.,O

2.,O
Atorvastatin,B-TR
40,O
mg,O
Tablet,O
Sig,O
:,O
One,O
(,O
1,O
),O
Tablet,O
PO,O
DAILY,O
(,O
Daily,O
),O
.,O

3.,O
Methylphenidate,B-TR
10,O
mg,O
Tablet,O
Sig,O
:,O
Two,O
(,O
2,O
),O
Tablet,O
PO,O
DAILY,O
(,O
Daily,O
),O
.,O

4.,O
Acetaminophen,B-TR
325,O
mg,O
Tablet,O
Sig,O
:,O
One,O
(,O
1,O
),O
Tablet,O
PO,O
Q4-6H,O
(,O
every,O
4,O
to,O
6,O
hours,O
),O
as,O
needed,O
.,O

5.,O
Folic,B-TR
Acid,I-TR
1,O
mg,O
Tablet,O
Sig,O
:,O
One,O
(,O
1,O
),O
Tablet,O
PO,O
DAILY,O
(,O
Daily,O
),O
.,O

6.,O
Atenolol,B-TR
25,O
mg,O
Tablet,O
Sig,O
:,O
0.5,O
Tablet,O
PO,O
DAILY,O
(,O
Daily,O
),O
.,O

7.,O
Spironolactone,B-TR
25,O
mg,O
Tablet,O
Sig,O
:,O
One,O
(,O
1,O
),O
Tablet,O
PO,O
DAILY,O
(,O
Daily,O
),O
.,O

8.,O
Ramipril,B-TR
1.25,O
mg,O
Capsule,O
Sig,O
:,O
Two,O
(,O
2,O
),O
Capsule,O
PO,O
DAILY,O
(,O
Daily,O
),O
.,O

9.,O
Hydrochlorothiazide,B-TR
25,O
mg,O
Tablet,O
Sig,O
:,O
One,O
(,O
1,O
),O
Tablet,O
PO,O
DAILY,O
(,O
Daily,O
),O
.,O

10.,O
Pioglitazone,B-TR
15,O
mg,O
Tablet,O
Sig,O
:,O
One,O
(,O
1,O
),O
Tablet,O
PO,O
DAILY,O
(,O
Daily,O
),O
as,O
needed,O
for,O
DM,B-PR
.,O

11.,O
Mesalamine,B-TR
400,O
mg,O
Tablet,O
",",O
Delayed,O
Release,O
(,O
E.C.,O
),O
Sig,O
:,O
Three,O
(,O
3,O
),O
Tablet,O
",",O
Delayed,O
Release,O
(,O
E.C.,O
),O
PO,O
TID,O
(,O
3,O
times,O
a,O
day,O
),O
as,O
needed,O
for,O
ulcerative,B-PR
colitis,I-PR
w/o,O
recent,O
severe,B-PR
flares,I-PR
.,O

12.,O
Insulin,B-TR
45,O
NPH,B-TR
in,O
am,O
with,O
33,O
NPH,B-TR
at,O
bedtime,O

Continue,O
Sliding,B-TR
scale,I-TR
insulin,I-TR
as,O
needed,O
.,O

13.,O
Sertraline,B-TR
20,O
mg/mL,O
Concentrate,O
Sig,O
:,O
Two,O
(,O
2,O
),O

14.,O
Coumadin,B-TR
2,O
mg,O
Tablet,O
Sig,O
:,O
One,O
(,O
1,O
),O
Tablet,O
PO,O
once,O
a,O
day,O
.,O

Discharge,O
Disposition,O
:,O

Extended,O
Care,O

Facility,O
:,O

Oak,O
Bluffs,O
Of,O
Greenfield,O

Discharge,O
Diagnosis,O
:,O

Rectal,B-PR
bleeding,I-PR
from,I-PR
inferior,I-PR
mesenteric,I-PR
artery,I-PR
tributaries,I-PR
supplying,O
sigmoid,O
colon,O
.,O

Discharge,O
Condition,O
:,O
Good,O
.,O

Discharge,O
Instructions,O
:,O

Please,O
call,O
physician,O
if,O
you,O
develop,O
shortness,B-PR
of,I-PR
breath,I-PR
",",O
weakness,B-PR
in,I-PR
your,I-PR
legs,I-PR
or,I-PR
arms,I-PR
",",O
sudden,B-PR
blurry,I-PR
vision,I-PR
or,O
slurred,B-PR
speech,I-PR
",",O
chest,B-PR
pain,I-PR
",",O
faintness,B-PR
",",O
or,O
significant,B-PR
unexplained,I-PR
weight,I-PR
loss,I-PR
.,O

Followup,O
Instructions,O
:,O

Provider,O
:,O
Lucio,O
Y.,O
Matthews,O
",",O
M.D.,O
Phone,O
:,O
(,O
967,O
),O
675,O
1641,O
Date/Time,O
:,O
2012-12-28,O
2:30,O

Provider,O
:,O

Provider,O
:,O
Lucio,O
F.,O
R.,O
Matthews,O
",",O
M.D.,O
Phone,O
:,O
(,O
967,O
),O
675,O
1641,O
Date/Time,O
:,O
2013-01-11,O
2:00,O

Please,O
call,O
White,O
",",O
Leslie,O
L.,O
at,O
(,O
602,O
),O
743,O
8709,O
to,O
schedule,O
an,O
appointment,O
with,O
him,O
in,O
1,O
week,O
.,O

Please,O
call,O
your,O
gastroenterologist,O
to,O
schedule,O
a,O
follow,O
up,O
appointment,O
in,O
2,O
weeks,O
.,O

Alan,O
John,O
MD,O
54-745,O

Completed,O
by,O
:,O
Bertha,O
Janice,O
Motta,O
MD,O
52-860,O
2012-11-07,O
@,O
1207,O

Signed,O
electronically,O
by,O
:,O
DR.,O
Melody,O
PARKS,O
on:,O
WED,O
2012-11-21,O
6:22,O
PM,O

(,O
End,O
of,O
Report,O
),O

4668411,O

CTMC,O

68299235,O

763052,O

9/29/1993,O
12:00:00,O
AM,O

Discharge,O
Summary,O

Signed,O

DIS,O

Admission,O
Date,O
:,O

09/29/1993,O

Report,O
Status,O
:,O

Signed,O

Discharge,O
Date,O
:,O

10/04/1993,O

HISTORY,O
OF,O
PRESENT,O
ILLNESS,O
:,O

The,O
patient,O
is,O
a,O
28-year-old,O
woman,O
who,O
is,O
HIV,B-PR
positive,I-PR
for,O
two,O
years,O
.,O

She,O
presented,O
with,O
left,B-PR
upper,I-PR
quadrant,I-PR
pain,I-PR
as,O
well,O
as,O
nausea,B-PR
and,O
vomiting,B-PR
which,O
is,O
a,B-PR
long-standing,I-PR
complaint,I-PR
.,O

She,O
was,O
diagnosed,O
in,O
1991,O
during,O
the,O
birth,O
of,O
her,O
child,O
.,O

She,O
claims,O
she,O
does,O
not,O
know,O
why,O
she,O
is,O
HIV,B-PR
positive,I-PR
.,O

She,O
is,O
from,O
Maryland,O
",",O
apparently,O
had,O
no,O
blood,B-TR
transfusions,I-TR
before,O
the,O
birth,O
of,O
her,O
children,O
so,O
it,O
is,O
presumed,O
heterosexual,B-PR
transmission,I-PR
.,O

At,O
that,O
time,O
",",O
she,O
also,O
had,O
cat,B-PR
scratch,I-PR
fever,I-PR
and,O
she,O
had,O
resection,B-TR
of,O
an,B-PR
abscess,I-PR
in,I-PR
the,I-PR
left,I-PR
lower,I-PR
extremity,I-PR
.,O

She,O
has,O
not,O
used,O
any,B-TR
anti,I-TR
retroviral,I-TR
therapy,I-TR
since,O
then,O
",",O
because,O
of,O
pancytopenia,B-PR
and,O
vomiting,B-PR
on,O
DDI,B-TR
.,O

She,O
has,O
complaints,O
of,O
nausea,B-PR
and,O
vomiting,B-PR
as,O
well,O
as,O
left,B-PR
upper,I-PR
quadrant,I-PR
pain,I-PR
on,O
and,O
off,O
getting,O
progressively,O
worse,O
over,O
the,O
past,O
month,O
.,O

She,O
has,O
had,O
similar,B-PR
pain,I-PR
intermittently,O
for,O
last,O
year,O
.,O

She,O
described,O
the,B-PR
pain,I-PR
as,O
a,B-PR
burning,I-PR
pain,I-PR
which,O
is,O
positional,O
",",O
worse,O
when,O
she,O
walks,O
or,O
does,O
any,O
type,O
of,O
exercise,O
.,O

She,O
has,O
no,O
relief,O
from,O
antacids,B-TR
or,O
H2,B-TR
blockers,I-TR
.,O

In,O
10/92,O
",",O
she,O
had,O
a,B-TE
CT,I-TE
scan,I-TE
which,O
showed,O
fatty,B-PR
infiltration,I-PR
of,I-PR
her,I-PR
liver,I-PR
diffusely,I-PR
with,O
a,B-PR
1,I-PR
cm,I-PR
cyst,I-PR
in,I-PR
the,I-PR
right,I-PR
lobe,I-PR
of,I-PR
the,I-PR
liver,I-PR
.,O

She,O
had,O
a,O
normal,O
pancreas,O
at,O
that,O
time,O
",",O
however,O
",",O
hyperdense,B-PR
kidneys,I-PR
.,O

Her,B-TE
alkaline,I-TE
phosphatase,I-TE
was,O
slightly,B-PR
elevated,I-PR
but,O
otherwise,O
relatively,O
normal,O
.,O

Her,B-TE
amylase,I-TE
was,O
mildly,B-PR
elevated,I-PR
but,O
has,O
been,O
down,O
since,O
then,O
.,O

The,O
patient,O
has,O
had,O
progressive,B-PR
failure,I-PR
to,I-PR
thrive,I-PR
and,O
steady,B-PR
weight,I-PR
loss,I-PR
.,O

She,O
was,O
brought,O
in,O
for,O
an,B-TE
esophagogastroduodenoscopy,I-TE
on,O
9/26,O
but,O
she,O
basically,O
was,O
not,O
sufficiently,O
sedated,B-TR
and,O
readmitted,O
at,O
this,O
time,O
for,O
a,B-TE
GI,I-TE
work-up,I-TE
as,O
well,O
as,O
an,B-TE
evaluation,I-TE
of,O
new,B-PR
abscess,I-PR
in,I-PR
her,I-PR
left,I-PR
lower,I-PR
calf,I-PR
and,O
right,O
medial,O
lower,O
extremity,O
quadriceps,O
muscle,O
.,O

She,O
was,O
also,O
admitted,O
to,O
be,O
connected,O
up,O
with,O
social,O
services,O
for,O
HIV,B-PR
patients,O
.,O

PAST,O
MEDICAL,O
HISTORY,O
:,O

As,O
above,O
.,O

ALLERGIES,O
:,O

BACTRIM,B-TR
.,O

MEDICATIONS,O
:,O

On,O
admission,O
included,O
Percocet,B-TR
",",O
Prinovil,B-TR
",",O
Dapsone,B-TR
",",O
Mycelex,B-TR
troches,I-TR
.,O

SOCIAL,O
HISTORY,O
:,O

The,O
patient,O
was,O
recently,O
separated,O
from,O
her,O
husband,O
.,O

She,O
lives,O
with,O
her,O
daughter,O
.,O

She,O
does,O
not,O
drink,O
",",O
use,O
IV,O
drugs,O
or,O
smoke,O
.,O

PHYSICAL,O
EXAMINATION,O
:,O

On,O
admission,O
revealed,O
a,O
cachetic,O
woman,O
in,O
no,O
acute,B-PR
distress,I-PR
with,O
stable,O
vital,O
signs,O
.,O

She,O
was,O
afebrile,B-PR
.,O

She,O
was,O
not,O
orthostatic,B-PR
.,O

Blood,B-TE
pressure,I-TE
110/80,O
.,O

HEENT,B-TE
exam,I-TE
was,O
within,O
normal,O
limits,O
.,O

Lungs,O
were,O
clear,O
to,O
auscultation,B-TE
and,O
percussion,B-TE
bilaterally,O
.,O

Cardiovascular,B-TE
exam,I-TE
revealed,O
a,O
regular,O
rate,O
and,O
rhythm,O
without,O
murmur,B-PR
.,O

Abdomen,O
was,O
soft,O
",",O
nontender,B-PR
",",O
nondistended,B-PR
with,O
positive,O
bowel,O
sounds,O
.,O

There,O
was,O
no,O
hepatosplenomegaly,B-PR
.,O

Extremities,O
revealed,O
a,B-PR
2,I-PR
x,I-PR
3,I-PR
cm,I-PR
tender,I-PR
mass,I-PR
in,I-PR
the,I-PR
lateral,I-PR
left,I-PR
calf,I-PR
",",O
medial,B-PR
1,I-PR
cm,I-PR
mass,I-PR
above,I-PR
her,I-PR
knee,I-PR
.,O

There,O
was,O
no,O
evidence,O
of,O
edema,B-PR
.,O

LABORATORY,O
DATA,O
:,O

On,O
admission,O
included,O
BUN,B-TE
/,O
creatinine,B-TE
of,O
33/2.1,O
.,O

Sodium,B-TE
141,O
.,O

Potassium,B-TE
4.2,O
.,O

Hematocrit,B-TE
23,O
.,O

White,B-TE
blood,I-TE
cell,I-TE
count,I-TE
was,O
2.1,O
with,O
56,B-TE
polys,I-TE
and,O
1,B-TE
band,I-TE
.,O

Platelet,B-TE
count,I-TE
"411,000",O
.,O

Amylase,B-TE
143,O
.,O

Lipase,B-TE
was,O
elevated,B-PR
to,O
600,O
.,O

ESR,B-TE
was,O
greater,O
than,O
140,O
.,O

Alkaline,B-TE
phosphatase,I-TE
190,O
.,O

ALT,B-TE
52,O
.,O

